Date,Close
1/21/2020,89.5
1/22/2020,89.87
1/23/2020,87.94
1/24/2020,87.71
1/27/2020,88.4
1/28/2020,86.76
1/29/2020,86.11
1/30/2020,87.61
1/31/2020,87.07
2/3/2020,87.51
2/4/2020,88.31
2/5/2020,88.71
2/6/2020,87.94
2/7/2020,87.14
2/10/2020,87.18
2/11/2020,88.19
2/12/2020,89.52
2/13/2020,89.27
2/14/2020,88.68
2/18/2020,91.08
2/19/2020,91.99
2/20/2020,93.22
2/21/2020,93.89
2/24/2020,91.04
2/25/2020,88.67
2/26/2020,87.75
2/27/2020,85.3
2/28/2020,83.03
3/2/2020,84.56
3/3/2020,81.82
3/4/2020,78.91
3/5/2020,77.99
3/6/2020,80.24
3/9/2020,83.51
3/10/2020,88.06
3/11/2020,83.67
3/12/2020,70.35
3/13/2020,74.7
3/16/2020,67.02
3/17/2020,76.45
3/18/2020,65.57
3/19/2020,70.87
3/20/2020,75.97
3/23/2020,76.37
3/24/2020,79.66
3/25/2020,76.37
3/26/2020,78.14
3/27/2020,77.05
3/30/2020,79.85
3/31/2020,73.47
4/1/2020,72.94
4/2/2020,70.46
4/3/2020,70.24
4/6/2020,76.28
4/7/2020,76.24
4/8/2020,79.22
4/9/2020,77.56
4/13/2020,76.17
4/14/2020,79.88
4/15/2020,78.09
4/16/2020,80.43
4/17/2020,81.73
4/20/2020,79.19
4/21/2020,77.74
4/22/2020,77.25
4/23/2020,74.93
4/24/2020,74.54
4/27/2020,80.27
4/28/2020,80.79
4/29/2020,80.86
4/30/2020,79.67
5/1/2020,77.39
5/4/2020,77.82
5/5/2020,76.55
5/6/2020,75.66
5/7/2020,76.69
5/8/2020,78.05
5/11/2020,77.91
5/12/2020,76.33
5/13/2020,74.46
5/14/2020,75.53
5/15/2020,75.07
5/18/2020,78.59
5/19/2020,79.99
5/20/2020,79.61
5/21/2020,81.22
5/22/2020,81.7
5/26/2020,85.2
5/27/2020,87.53
5/28/2020,97.64
5/29/2020,97.87
6/1/2020,96.25
6/2/2020,96.98
6/3/2020,94.57
6/4/2020,93.26
6/5/2020,92.9
6/8/2020,93.73
6/9/2020,92.58
6/10/2020,91.47
6/11/2020,89.1
6/12/2020,87.77
6/15/2020,89.11
6/16/2020,91.13
6/17/2020,89.09
6/18/2020,90.69
6/19/2020,88.8
6/22/2020,90.29
6/23/2020,89.75
6/24/2020,90.1
6/25/2020,93.11
6/26/2020,92.62
6/29/2020,93.67
6/30/2020,92.68
7/1/2020,93.39
7/2/2020,93.61
7/6/2020,89.78
7/7/2020,90.5
7/8/2020,90.29
7/9/2020,91.34
7/10/2020,91.87
7/13/2020,92.31
7/14/2020,94.36
7/15/2020,95.71
7/16/2020,96.63
7/17/2020,95.46
7/20/2020,97.12
7/21/2020,96.07
7/22/2020,97.12
7/23/2020,96.32
7/24/2020,95.6
7/27/2020,95.42
7/28/2020,95.64
7/29/2020,95.02
7/30/2020,93.95
7/31/2020,93.35
8/3/2020,94.51
8/4/2020,95.9
8/5/2020,95.82
8/6/2020,95.6
8/7/2020,96.49
8/10/2020,97.74
8/11/2020,96.49
8/12/2020,99.21
8/13/2020,97.27
8/14/2020,98.84
8/17/2020,100.87
8/18/2020,99.24
8/19/2020,99.75
8/20/2020,98.91
8/21/2020,100.3
8/24/2020,102.29
8/25/2020,102.64
8/26/2020,104.24
8/27/2020,96.72
8/28/2020,94.73
8/31/2020,96.27
9/1/2020,93.68
9/2/2020,94.7
9/3/2020,92.92
9/4/2020,91.23
9/8/2020,89.83
9/9/2020,91.81
9/10/2020,90.25
9/11/2020,90.05
9/14/2020,88.92
9/15/2020,88.65
9/16/2020,89.26
9/17/2020,88.54
9/18/2020,88.02
9/21/2020,85.97
9/22/2020,86.8
9/23/2020,86.72
9/24/2020,88.43
9/25/2020,89.42
9/28/2020,90.94
9/29/2020,89.87
9/30/2020,91.34
10/1/2020,91.87
10/2/2020,90.76
10/5/2020,89.98
10/6/2020,88.68
10/7/2020,90.55
10/8/2020,91.53
10/9/2020,93.64
10/12/2020,95.56
10/13/2020,96.63
10/14/2020,95.16
10/15/2020,96.54
10/16/2020,95.56
10/19/2020,95
10/20/2020,95.41
10/21/2020,94.84
10/22/2020,93.84
10/23/2020,95.47
10/26/2020,92.53
10/27/2020,92.82
10/28/2020,90.58
10/29/2020,91.91
10/30/2020,90.32
11/2/2020,91.12
11/3/2020,93.65
11/4/2020,95.25
11/5/2020,95.1
11/6/2020,95.53
11/9/2020,95.87
11/10/2020,94.97
11/11/2020,94.32
11/12/2020,93.19
11/13/2020,94.95
11/16/2020,95.61
11/17/2020,93.82
11/18/2020,93.65
11/19/2020,94.55
11/20/2020,94.97
11/23/2020,97.61
11/24/2020,111.35
11/25/2020,111.73
11/27/2020,109.9
11/30/2020,109.24
12/1/2020,112.39
12/2/2020,111.63
12/3/2020,112.12
12/4/2020,112.51
12/7/2020,111.95
12/8/2020,109.46
12/9/2020,110.86
12/10/2020,108.29
12/11/2020,106.55
12/14/2020,107.68
12/15/2020,110.04
12/16/2020,112.85
12/17/2020,113.05
12/18/2020,111.88
12/21/2020,111.52
12/22/2020,108.98
12/23/2020,107.62
12/24/2020,109.03
12/28/2020,107.93
12/29/2020,109.1
12/30/2020,107.8
12/31/2020,108.04
1/4/2021,106.94
1/5/2021,107.13
1/6/2021,112.97
1/7/2021,114.75
1/8/2021,112.97
1/11/2021,112.43
1/12/2021,114.18
1/13/2021,112.47
1/14/2021,109.97
1/15/2021,108.34
